EquipmentID,ManufacturerID,ModelID
ARV0005154,UNKNOWN,UNKNOWN
ARV0019442,UNKNOWN,UNKNOWN
ARV0019443,UNKNOWN,UNKNOWN
ARV0019446,UNKNOWN,UNKNOWN
ARV0019459,UNKNOWN,UNKNOWN
ARV0019497,UNKNOWN,UNKNOWN
ARV0019498,UNKNOWN,UNKNOWN
ARV0019500,UNKNOWN,UNKNOWN
ARV0019502,UNKNOWN,UNKNOWN
ARV0019503,UNKNOWN,UNKNOWN
ARV0019504,UNKNOWN,UNKNOWN
ARV0020683,UNKNOWN,UNKNOWN
ARV0020707,UNKNOWN,UNKNOWN
ARV0020708,UNKNOWN,UNKNOWN
ARV0020709,UNKNOWN,UNKNOWN
ARV0020710,UNKNOWN,UNKNOWN
ARV0020711,UNKNOWN,UNKNOWN
ARV0020714,UNKNOWN,UNKNOWN
ARV0020715,UNKNOWN,UNKNOWN
ARV0020717,UNKNOWN,UNKNOWN
ARV0020718,UNKNOWN,UNKNOWN
ARV0020719,UNKNOWN,UNKNOWN
ARV0020720,UNKNOWN,UNKNOWN
ARV0020721,UNKNOWN,UNKNOWN
ARV0020722,UNKNOWN,UNKNOWN
ARV0020954,UNKNOWN,UNKNOWN
ARV0020955,UNKNOWN,UNKNOWN
ARV0020956,UNKNOWN,UNKNOWN
ARV0020957,UNKNOWN,UNKNOWN
ARV0020958,UNKNOWN,UNKNOWN
ARV0020959,UNKNOWN,UNKNOWN
ARV0022122,UNKNOWN,UNKNOWN
ARV0022123,UNKNOWN,UNKNOWN
ARV0022124,UNKNOWN,UNKNOWN
ARV0022125,UNKNOWN,UNKNOWN
ARV0022126,UNKNOWN,UNKNOWN
ARV0022127,UNKNOWN,UNKNOWN
ARV0022322,UNKNOWN,UNKNOWN
ARV0022326,UNKNOWN,UNKNOWN
ARV0022327,UNKNOWN,UNKNOWN
ARV0022328,UNKNOWN,UNKNOWN
ARV0022329,UNKNOWN,UNKNOWN
ARV0022331,UNKNOWN,UNKNOWN
ARV0022332,UNKNOWN,UNKNOWN
ARV0022333,UNKNOWN,UNKNOWN
ARV0022334,UNKNOWN,UNKNOWN
ARV0022335,UNKNOWN,UNKNOWN
ARV0022336,UNKNOWN,UNKNOWN
ARV0022337,UNKNOWN,UNKNOWN
ARV0022347,UNKNOWN,UNKNOWN
ARV0022348,UNKNOWN,UNKNOWN
ARV0022349,UNKNOWN,UNKNOWN
ARV0022350,UNKNOWN,UNKNOWN
ARV0022353,UNKNOWN,UNKNOWN
ARV0022354,UNKNOWN,UNKNOWN
ARV0022355,UNKNOWN,UNKNOWN
ARV0022361,UNKNOWN,UNKNOWN
ARV0022362,UNKNOWN,UNKNOWN
ARV0022364,UNKNOWN,UNKNOWN
ARV0022519,UNKNOWN,UNKNOWN
ARV0022521,UNKNOWN,UNKNOWN
ARV0022522,UNKNOWN,UNKNOWN
ARV0022572,UNKNOWN,UNKNOWN
ARV0022596,UNKNOWN,UNKNOWN
ARV0022752,UNKNOWN,UNKNOWN
ARV0022968,UNKNOWN,UNKNOWN
ARV0023009,UNKNOWN,UNKNOWN
ARV0023136,UNKNOWN,UNKNOWN
ARV0023145,UNKNOWN,UNKNOWN
ARV0023152,UNKNOWN,UNKNOWN
ARV0023154,UNKNOWN,UNKNOWN
ARV0023161,UNKNOWN,UNKNOWN
ARV0023162,UNKNOWN,UNKNOWN
ARV0023163,UNKNOWN,UNKNOWN
ARV0023164,UNKNOWN,UNKNOWN
ARV0023165,UNKNOWN,UNKNOWN
ARV0023166,UNKNOWN,UNKNOWN
ARV0023167,UNKNOWN,UNKNOWN
ARV0023168,UNKNOWN,UNKNOWN
ARV0023169,UNKNOWN,UNKNOWN
ARV0023170,UNKNOWN,UNKNOWN
ARV0023467,UNKNOWN,UNKNOWN
ARV0023468,UNKNOWN,UNKNOWN
ARV0023469,UNKNOWN,UNKNOWN
ARV0023620,UNKNOWN,UNKNOWN
ARV0023829,UNKNOWN,UNKNOWN
ARV0023830,UNKNOWN,UNKNOWN
ARV0023831,UNKNOWN,UNKNOWN
ARV0023832,UNKNOWN,UNKNOWN
ARV0023833,UNKNOWN,UNKNOWN
ARV0023841,UNKNOWN,UNKNOWN
ARV0023842,UNKNOWN,UNKNOWN
ARV0023843,UNKNOWN,UNKNOWN
ARV0023953,UNKNOWN,UNKNOWN
ARV0023954,UNKNOWN,UNKNOWN
ARV0023956,UNKNOWN,UNKNOWN
ARV0023957,UNKNOWN,UNKNOWN
ARV0024167,UNKNOWN,UNKNOWN
ARV0024375,APCO VALVE,UNKNOWN
ARV0024376,APCO VALVE,UNKNOWN
ARV0024377,APCO VALVE,UNKNOWN
ARV0024378,APCO VALVE,UNKNOWN
ARV0024379,APCO VALVE,UNKNOWN
ARV0024380,APCO VALVE,UNKNOWN
ARV0024381,APCO VALVE,UNKNOWN
ARV0024382,APCO VALVE,UNKNOWN
ARV0024383,APCO VALVE,UNKNOWN
ARV0025010,UNKNOWN,UNKNOWN
ARV0025423,UNKNOWN,UNKNOWN
ARV0025424,UNKNOWN,UNKNOWN
ARV0025429,UNKNOWN,UNKNOWN
ARV0025456,UNKNOWN,UNKNOWN
ARV0025460,UNKNOWN,UNKNOWN
ARV0025478,UNKNOWN,UNKNOWN
ARV0025489,UNKNOWN,UNKNOWN
ARV0025491,UNKNOWN,UNKNOWN
ARV0025521,UNKNOWN,UNKNOWN
ARV0025522,UNKNOWN,UNKNOWN
ARV0025523,UNKNOWN,UNKNOWN
ARV0025524,UNKNOWN,UNKNOWN
ARV0025525,UNKNOWN,UNKNOWN
ARV0025526,UNKNOWN,UNKNOWN
ARV0025527,UNKNOWN,UNKNOWN
ARV0025810,UNKNOWN,UNKNOWN
ARV0025811,UNKNOWN,UNKNOWN
ARV0026427,UNKNOWN,UNKNOWN
ARV0027270,UNKNOWN,UNKNOWN
ARV0027271,UNKNOWN,UNKNOWN
ARV0027275,UNKNOWN,UNKNOWN
ARV0027297,UNKNOWN,UNKNOWN
ARV0027305,UNKNOWN,UNKNOWN
ARV0027306,UNKNOWN,UNKNOWN
ARV0027307,UNKNOWN,UNKNOWN
ARV0027310,UNKNOWN,UNKNOWN
ARV0027314,UNKNOWN,UNKNOWN
ARV0027316,UNKNOWN,UNKNOWN
ARV0027316,UNKNOWN,UNKNOWN
ARV0027322,UNKNOWN,UNKNOWN
ARV0027331,UNKNOWN,UNKNOWN
ARV0027332,UNKNOWN,UNKNOWN
ARV0027347,UNKNOWN,UNKNOWN
ARV0027367,UNKNOWN,UNKNOWN
ARV0027376,UNKNOWN,UNKNOWN
ARV0027410,UNKNOWN,UNKNOWN
ARV0027413,UNKNOWN,UNKNOWN
ARV0027448,UNKNOWN,UNKNOWN
ARV0027457,UNKNOWN,UNKNOWN
ARV0027479,UNKNOWN,UNKNOWN
ARV0027489,UNKNOWN,UNKNOWN
ARV0027511,UNKNOWN,UNKNOWN
ARV0027559,UNKNOWN,UNKNOWN
ARV0027561,UNKNOWN,UNKNOWN
ARV0027622,UNKNOWN,UNKNOWN
ARV0027624,UNKNOWN,UNKNOWN
ARV0027691,UNKNOWN,UNKNOWN
ARV0027720,UNKNOWN,UNKNOWN
ARV0027828,UNKNOWN,UNKNOWN
ARV0027857,UNKNOWN,UNKNOWN
ARV0027889,UNKNOWN,UNKNOWN
ARV0027894,UNKNOWN,UNKNOWN
ARV0028271,UNKNOWN,UNKNOWN
ARV0028272,UNKNOWN,UNKNOWN
ARV0029177,UNKNOWN,UNKNOWN
ARV0029363,UNKNOWN,UNKNOWN
ARV0029488,VAL-MATIC,1804VB  
ARV0029488,VAL-MATIC,1804VB  
ARV0029489,VAL-MATIC,201C  
ARV0029491,VAL-MATIC,201C  
ARV0029492,CRISPIN,UNKNOWN
ARV0029494,VAL-MATIC,201C  
ARV0029495,VAL-MATIC,MODEL 38  
ARV0029495,VAL-MATIC,MODEL 38  
ARV0029497,UNKNOWN,201C  
ARV0029498,UNKNOWN,MODEL 38  
ARV0029498,UNKNOWN,MODEL 38  
ARV0029499,GOLDEN ANDERSON,UNKNOWN
ARV0029500,GOLDEN ANDERSON,UNKNOWN
ARV0029505,VAL-MATIC,UNKNOWN
ARV0029507,VAL-MATIC,MODEL 38  
ARV0029508,CRISPIN,UNKNOWN
ARV0029509,CRISPIN,MODEL 38  
ARV0029510,VAL-MATIC,MODEL 38  
ARV0029511,VAL-MATIC,201C  
ARV0029512,VAL-MATIC,1804VB  
ARV0029512,VAL-MATIC,1804VB  
ARV0029513,VAL-MATIC,MODEL 38  
ARV0029514,UNKNOWN,UNKNOWN
ARV0029515,CRISPIN,UNKNOWN
ARV0029517,CRISPIN,UNKNOWN
ARV0029518,UNKNOWN,UNKNOWN
ARV0029519,UNKNOWN,UNKNOWN
ARV0029520,UNKNOWN,UNKNOWN
ARV0029521,CRISPIN,UNKNOWN
ARV0029524,VAL-MATIC,MODEL 38  
ARV0029535,VAL-MATIC,1804VB  
ARV0029535,VAL-MATIC,1804VB  
ARV0029536,VAL-MATIC,201C  
ARV0029538,UNKNOWN,MODEL 38  
ARV0029540,VAL-MATIC,1804VB  
ARV0029540,VAL-MATIC,1804VB  
ARV0029542,VAL-MATIC,MODEL 38  
ARV0029545,VAL-MATIC,MODEL 38  
