EquipmentType,PMService
1978 BUTLER FLAT BED TRAILER,PMTRL-6M
1978 BUTLER FLAT BED TRAILER,STATEINSP
1982 BAME TRAILER,PMTRL-6M
1982 BAME TRAILER,STATEINSP
1984 MULTIQUIP TRAILER,COOLANTSRV
1984 MULTIQUIP TRAILER,PM-LOF
1984 MULTIQUIP TRAILER,PMGEN-4M
1986 FORD 5610 TRACTOR,COOLANTSRV
1986 FORD 5610 TRACTOR,PM-LOF
1986 FORD 5610 TRACTOR,PMCE-4M
1986 FORD 5610 TRACTOR,SEATBELTINSP
1990 BETTER BUILT TRAILER,PMTRL-6M
1990 BETTER BUILT TRAILER,STATEINSP
1990 INTL 4900 CRANE TRUCK,COOLANTSRV
1990 INTL 4900 CRANE TRUCK,CRANEINSP
1990 INTL 4900 CRANE TRUCK,PM-LOF
1990 INTL 4900 CRANE TRUCK,PMHD-4M
1990 INTL 4900 CRANE TRUCK,STATEINSP
1990 INTL 4900 CRANE TRUCK,TRANSSERVICE
1992 DITCHWITCH TRENCHER,COOLANTSRV
1992 DITCHWITCH TRENCHER,PM-LOF
1992 DITCHWITCH TRENCHER,PMCE-6M
1992 DITCHWITCH TRENCHER,SEATBELTINSP
1994 JOHN DEERE 544G LOADER,PMLDR-2M
1995 REID DL15 TRAILER,PMHDTRL-4M
1995 REID DL15 TRAILER,STATEINSP
1995 SULLIVAN  185CFM COMP,COOLANTSRV
1995 SULLIVAN  185CFM COMP,PM-LOF
1995 SULLIVAN  185CFM COMP,PMCOMP-4M
1995 YALE GLP060 FORKLIFT,COOLANTSRV
1995 YALE GLP060 FORKLIFT,PM-LOF
1995 YALE GLP060 FORKLIFT,PMFORKLIFT
1996 FORD F-800 CRASH TRUCK,COOLANTSRV
1996 FORD F-800 CRASH TRUCK,PM-LOF
1996 FORD F-800 CRASH TRUCK,PMHD-4M
1996 FORD F-800 CRASH TRUCK,STATEINSP
1996 FORD F-800 CRASH TRUCK,TRANSSERVICE
1996 LEROY 185CFM COMP,COOLANTSRV
1996 LEROY 185CFM COMP,PM-LOF
1996 LEROY 185CFM COMP,PMCOMP-4M
1997 FORD AEROSTAR,100KSERVICE
1997 FORD AEROSTAR,COOLANTSRV
1997 FORD AEROSTAR,PM-LOF
