EquipmentClassID,MeterTypesClass
BUCKET TRUCK,MILES
CRANE TRUCK,MILES
DUMP TRUCK 1 TON 4X4 CC,MILES
DUMP TRUCK 1 TON 4X4 CC,MILES
DUMP TRUCK 2CY,MILES
DUMP TRUCK 2CY 19K CREW CAB,MILES
DUMP TRUCK 2CY 19K CREW CAB,MILES
PICKUP 3/4 TON 4X4,MILES
PICKUP 3/4 TON EXTRA CAB,MILES
STAKE BODY TRUCK 1 TON,MILES
PICKUP 1/2 TON,MILES
PICKUP 1/2 TON,MILES
PICKUP 1/2 TON,MILES
PICKUP 1/2 TON 4X4,MILES
PICKUP 1/2 TON 4X4,MILES
PICKUP 1/2 TON EXT CAB,MILES
PICKUP 1/2 TON EXT CAB 4X4,MILES
PICKUP 3/4 TON,MILES
PICKUP 3/4 TON,MILES
PICKUP 3/4 TON EXTRA CAB 4X4,MILES
PICKUP COMPACT,MILES
PICKUP COMPACT,MILES
PICKUP COMPACT,MILES
PICKUP COMPACT 4X4,MILES
PICKUP COMPACT 4X4,MILES
PICKUP COMPACT EXTRA CAB,MILES
PICKUP COMPACT EXTRA CAB,MILES
PICKUP COMPACT EXTRA CAB,MILES
PICKUP COMPACT EXTRA CAB,MILES
PICKUP COMPACT EXTRA CAB,MILES
PICKUP COMPACT EXTRA CAB 4X4,MILES
PICKUP COMPACT EXTRA CAB 4X4,MILES
SEDAN,MILES
SEDAN,MILES
SEDAN,MILES
SEDAN,MILES
SEDAN,MILES
SEDAN HYBRID,MILES
SUV,MILES
SUV,MILES
SUV,MILES
SUV,MILES
SUV,MILES
UTILITY TRUCK 1 TON,MILES
UTILITY TRUCK 1 TON,MILES
UTILITY TRUCK 16K,MILES
UTILITY TRUCK 16K 4X4,MILES
UTILITY TRUCK 19K,MILES
UTILITY TRUCK 3/4 TON,MILES
UTILITY TRUCK 3/4 TON,MILES
UTILITY TRUCK 3/4 TON,MILES
UTILITY TRUCK 3/4 TON,MILES
UTILITY TRUCK 3/4 TON,MILES
UTILITY TRUCK 3/4 TON,MILES
UTILITY TRUCK 3/4 TON,MILES
UTILITY TRUCK 3/4 TON,MILES
UTILITY TRUCK 3/4 TON,MILES
UTILITY TRUCK 3/4 TON 4X4,MILES
UTILITY TRUCK 3/4 TON 4X4,MILES
UTILITY TRUCK 3/4 TON 4X4,MILES
VAN 1 TON,MILES
VAN 1/2 TON,MILES
VAN 1/2 TON,MILES
VAN 1/2 TON,MILES
VAN 1/2 TON,MILES
VAN 1/2 TON,MILES
VAN 1/2 TON,MILES
VAN 3/4 TON,MILES
VAN 3/4 TON,MILES
VAN PASSENGER,MILES
"MOWER 72""",HOURS
"MOWER 72""",HOURS
AIR COMPRESSOR PORTABLE,HOURS
AIR COMPRESSOR PORTABLE,HOURS
ATV       ,HOURS
BACKHOE,HOURS
BACKHOE,HOURS
BACKHOE,HOURS
BACKHOE,HOURS
BACKHOE 4X4,HOURS
BULLDOZER,HOURS
COMPACT TRACK LOADER,HOURS
COMPACT TRACK LOADER,HOURS
ENVIRONMENTAL BRUSH CUTTER,HOURS
EXCAVATOR LARGE,HOURS
EXCAVATOR MEDIUM,HOURS
EXCAVATOR SMALL,HOURS
GENERATOR PORTABLE,HOURS
GENERATOR PORTABLE,HOURS
LOADER,HOURS
LOADER,HOURS
LOADER,HOURS
MOTOR GRADER,HOURS
FORK LIFT,HOURS
RESIDUALS APPLICATION VEHICLE,HOURS
SWEEPER STREET,HOURS
TRACTOR INDUSTRIAL,HOURS
TRACTOR INDUSTRIAL,HOURS
TRACTOR INDUSTRIAL,HOURS
TRAILER HOT PATCH,HOURS
TRENCHER,HOURS
VAC MACHINE,HOURS
VIBRATORY ROLLER,HOURS
ASPHALT ZIPPER    ,HOURS
DUMP TRUCK 10CY,MILES AND HOURS
DUMP TRUCK 10CY,MILES AND HOURS
DUMP TRUCK 10CY,MILES AND HOURS
DUMP TRUCK 10CY,MILES AND HOURS
DUMP TRUCK 15CY,MILES AND HOURS
DUMP TRUCK 7CY,MILES AND HOURS
DUMP TRUCK 7CY,MILES AND HOURS
DUMP TRUCK 7CY,MILES AND HOURS
DUMP TRUCK 7CY,MILES AND HOURS
LINE TRUCK,MILES AND HOURS
LINE TRUCK,MILES AND HOURS
LINE TRUCK,MILES AND HOURS
ROAD TRACTOR,MILES AND HOURS
