OpCode,Description,TaskIDAlignment,RepairPM
0351,BODY REPAIR                                         ,DGR,Repair
0453,BODY/CHASSIS PAINTING                               ,DGR,Repair
0806,EMERGENCY DUTY                                      ,DGR,Repair
0951,PERSONAL LEAVE TIME                                 ,DGR,Repair
0952,SICK LEAVE TIME                                     ,DGR,Repair
0953,I.O.D.                                              ,DGR,Repair
0954,VACATION TIME                                       ,DGR,Repair
0956,LEAVE WITH PAY                                      ,DGR,Repair
0957,HOLIDAY                                             ,DGR,Repair
1000,RODEO                                               ,DGR,Repair
2020,DRAWING PKG TO DO - CONT                            ,DGR,Repair
2030,DRAW PKG: WW                                        ,DGR,Repair
3002,HANDLING                                            ,DGR,Repair
7115,BUSHOGGING                                          ,DGR,Repair
0914,TRAINING                                            ,IND-ADMIN,Repair
0918,MAINTENANCE OF TOOLS AND EQUIPMENT                  ,IND-ADMIN,Repair
2903,FIELD PROJECTS - SHUT OFF DETERMINATION             ,DVL-TRIALSH,Repair
2923,TRIAL SHUT OFF                                      ,DVL-TRIALSH,Repair
2644,REMOVE VALVE                                        ,DVL-RMV,Repair
2704,REMOVE VALVE BOX                                    ,DVL-RMV,Repair
2785,REMOVE TEE & VALVE                                  ,DVL-RMV,Repair
2780,REPLACE VALVE BOX                                   ,DVL-REPLBOX,Repair
2816,REPLACE HYDRANT VALVE BOX                           ,DVL-REPLBOX,Repair
2917,REPLACE VALVE BOX                                   ,DVL-REPLBOX,Repair
2701,REPAIR/REPLACE GATE VALVE                           ,DVL-REPL,Repair
2708,REPLACE TEE & VALVE                                 ,DVL-REPL,Repair
2781,REPLACE MAIN LINE VALVE                             ,DVL-REPL,Repair
2799,REPLACE TAPPING SLEEVE AND VALVE                    ,DVL-REPL,Repair
2809,REPLACE/REPAIR HYD BRANCH VALVE                     ,DVL-REPL,Repair
2916,REPLACE VALVE                                       ,DVL-REPL,Repair
2735,"LEAK REPAIR, MAIN LINE VALVE                        ",DVL-REPAIR,Repair
2912,REPAIR VALVE                                        ,DVL-REPAIR,Repair
2814,RAISE HYDRANT VALVE BOX                             ,DVL-RAISBOX,Repair
2629,CAP TAPPING SLEEVE & VALVE                          ,DVL-PLUG,Repair
2706,CAP TAPPING SLEEVE & VALVE                          ,DVL-PLUG,Repair
2815,LOWER HYDRANT VALVE BOX                             ,DVL-LWRBOX,Repair
2828,LOCATE HYDRANT BRANCH VALVE BOX                     ,DVL-LOCBOX,Repair
2906,LOCATE VALVE                                        ,DVL-LOCBOX,Repair
2907,LOCATE VALVE BOX                                    ,DVL-LOCBOX,Repair
2908,LOCATE INACCESSABLE VALVE                           ,DVL-LOCBOX,Repair
2603,INSTALL VALVE-(ALL)                                 ,DVL-INST,Repair
2612,INSTALL GATE VALVE                                  ,DVL-INST,Repair
2633,INSTALL TEE & VALVE                                 ,DVL-INST,Repair
2646,INSTALL BUTTERFLY VALVE                             ,DVL-INST,Repair
2795,INSTALL VALVE (ALL)                                 ,DVL-INST,Repair
2909,INSTALL VALVE                                       ,DVL-INST,Repair
2913,REPAIR VALVE LEAK                                   ,DVL-INST,Repair
2626,INSTALL A MAIN LINE VALVE BOX                       ,DVL-INSBOX,Repair
2829,INSTALL HYDRANT BRANCH VALVE BOX                    ,DVL-INSBOX,Repair
2910,INSTALL VALVE BOX                                   ,DVL-INSBOX,Repair
2911,INSTALL TRUSS PIPE                                  ,DVL-INSBOX,Repair
2933,CLEAN OUT TRUSS PIPE                                ,DVL-CLNBOX,Repair
2787,REPLACE VALVE BOX TOP                               ,DVL-BOXLID,Repair
2825,REPLACE VALVE BOX TOP                               ,DVL-BOXLID,Repair
2928,INSTALL VALVE BOX TOP                               ,DVL-BOXLID,Repair
2613,RESET VALVE BOX FOR DEVELOPER                       ,DVL-ADJBOX,Repair
2715,ADJUST TRUSS PIPE                                   ,DVL-ADJBOX,Repair
2750,RESET VALVE BOX                                     ,DVL-ADJBOX,Repair
2793,RESET VALVE BOX-CONTRACTOR                          ,DVL-ADJBOX,Repair
2918,ADJUST VALVE BOX                                    ,DVL-ADJBOX,Repair
2931,ADJUST TRUSS PIPE                                   ,DVL-ADJBOX,Repair
2401,TAP: INCLUDING PRESSURE TEST FOR TAP                ,DVL -TSV,Repair
2607,INSTALL TAPPING SLEEVE AND VALVE                    ,DVL -TSV,Repair
2904,VALVE DATA RESEARCH                                 ,DVL,Repair
2929,VALVE MAINTENANCE                                   ,DVL,Repair
2530,"TRF SERVICE TO NEW OR EXISTING MAIN,  1/2""          ",DSV-XFER,Repair
2531,"TRF SERVICE TO NEW OR EXISTING MAIN,  3/4""          ",DSV-XFER,Repair
2532,"TRF SERVICE TO NEW OR EXISTING MAIN,  1""            ",DSV-XFER,Repair
2533,"TRF SERVICE TO NEW OR EXISTING MAIN,  1 1/2""        ",DSV-XFER,Repair
2534,"TRF SERVICE TO NEW OR EXISTING MAIN,  2""            ",DSV-XFER,Repair
2535,"TRF SERVICE TO NEW OR EXISTING MAIN,  3""            ",DSV-XFER,Repair
2536,"TRF SERVICE TO NEW OR EXISTING MAIN,  4""            ",DSV-XFER,Repair
2537,"TRF SERVICE TO NEW OR EXISTING MAIN,  6""            ",DSV-XFER,Repair
2538,"TRF SERVICE TO NEW OR EXISTING MAIN,  8""            ",DSV-XFER,Repair
2583,"TRSF METER, SVC INST BY CONTRACTOR, 5/8""            ",DSV-XFER,Repair
2585,"TRSF METER, SVC INST BY CONTRACTOR, 1""              ",DSV-XFER,Repair
2586,"TRSF METER, SVC INST BY CONTRACTOR, 1 1/2""          ",DSV-XFER,Repair
2587,"TRSF METER, SVC INST BY CONTRACTOR, 2""              ",DSV-XFER,Repair
2616,TRSF DETECTO CHECK TO NEW MAIN                      ,DSV-XFER,Repair
2789,RESET METER BOX                                     ,DSV-RSTMTRBX,Repair
2598,REMOVE YOKE & BOX                                   ,DSV-RMVYOKE,Repair
DYB1,"DISCONTINUE YOKE & BOX, 5/8""                        ",DSV-RMVYOKE,Repair
2711,REMOVE GALV SVC PIPE                                ,DSV-RMVSVC,Repair
2703,REMOVE OR REPLACE DETECTO CHECK                     ,DSV-RMVSPR,Repair
2738,REMOVE CORPORATION STOP                             ,DSV-RMVCORP,Repair
8012,10 PULL METER                                       ,DSV-RMMTR,Repair
9012,"12"" PULL METER                                      ",DSV-RMMTR,Repair
2712,REPAIR DETECTO CHECK ASSEMBLY                       ,DSV-REPSPR,Repair
2462,SERVICE REPAIR - CONTRACTOR INSTALLED SERVICE       ,DSV-REPRPIP,Repair
2527,"LEAK REPAIR, SERVICE (BBO)                          ",DSV-REPRPIP,Repair
2529,"LEAK REPAIR, SERVICE LINE                           ",DSV-REPRPIP,Repair
2739,"LEAK REPAIR, SERVICE (BBO)                          ",DSV-REPRPIP,Repair
2740,"LEAK REPAIR, SERVICE LINE                           ",DSV-REPRPIP,Repair
