OpCode,Description,TaskIDAlignment,RepairPM,,
0100,ACCIDENT REPAIRS                                    ,091-060,Repair,,
0110,PRE-DELIVERY SERVICE                                ,090-070,Repair,,
0111,A - P.M.(BACKHOES - 2 MONTHS/250 HRS)               ,PMBH-2M,PM,,
0112,B - P.M.(COMPRESSORS - 4 MONTHS/250 HRS)            ,PMCOMP-4M,PM,,
0113,C - P.M.(CARS/TRKS/TRAILERS - 4 MONTHS/7500 MILES)  ,PMLD-4M,PM,,
0114,CHANGE/REPAIR TIRES                                 ,017-070,Repair,,
0115,CHANGE BATTERY/SERVICES                             ,035-070,Repair,,
0116,TOWING                                              ,090-200,Repair,,
0117,GENERATOR/POWER UNIT PM                             ,PMGEN-4M,PM,,
0118,INSPECTION-VEHICLE REPAIRS                          ,090-110,Repair,,
0119,D - P.M.(LITE USE 6 MONTHS/7500 MILES OR 250 HRS)   ,PMLD-6M,PM,,
0121,ENGINE                                              ,045-120,Repair,,
0122,IGNITION SYSTEM                                     ,032-030,Repair,,
0123,ELECTRIC SYSTEM EXCEPT LIGHTING                     ,031-090,Repair,,
0124,FUEL SYSTEM                                         ,044-100,Repair,,
0125,COOLING SYSTEM                                      ,042-090,Repair,,
0126,EXHAUST STSTEM                                      ,043-080,Repair,,
0127,LUBRICATION SYSTEM                                  ,045-120,Repair,,
0128,AIR CONDITIONING/HEATING SYSTEM                     ,001-080,Repair,,
0131,CLUTCH                                              ,023-060,Repair,,
0132,TRANSMISSION (INC. PTO)                             ,056-050,Repair,,
0133,PROPELLER SHAFT & JOINTS                            ,024-030,Repair,,
0134,PTO SYSTEM                                          ,056-050,Repair,,
0135,DIFFERENTIAL                                        ,022-030,Repair,,
0141,STEERING SYSTEM                                     ,015-120,Repair,,
0142,BRAKE SYSTEMS                                       ,013-250,Repair,,
0144,"WHEELS/BALANCING, ETC.                              ",017-040,Repair,,
0145,CHASSIS-SPRINGS/SHOCKS                              ,016-110,Repair,,
0146,"HUBS, DURMS, BEARINGS                               ",018-050,Repair,,
0151,BODY REPAIR                                         ,002-130,Repair,,
0152,FRAME REPAIR                                        ,014-040,Repair,,
0153,BODY/CHASSIS PAINTING                               ,090-160,Repair,,
0154,LIGHTING SYSTEM ONLY                                ,034-070,Repair,,
0155,INSTRUMENTS-GAUGES                                  ,003-060,Repair,,
0156,"BODY ACCESSORIES/GLASS, HARDWARE                    ",002-130,Repair,,
0157,SOFT TRIM/UPHOLSTERY                                ,002-050,Repair,,
0161,HYDRAULIC SYSTEMS                                   ,065-070,Repair,,
0162,ELECTRICAL SYSTEMS                                  ,031-090,Repair,,
0163,MECHANICAL SYSTEMS                                  ,071-110,Repair,,
0164,PNEUMATIC  SYSTEMS                                  ,210-040,Repair,,
0165,STRUCTURAL                                          ,071-100,Repair,,
0214,CHANGE/REPAIR TIRES                                 ,017-070,Repair,,
0215,CHANGE BATTERY/SERVICE                              ,035-070,Repair,,
0221,ENGINE                                              ,045-120,Repair,,
0222,IGNITION SYSTEM                                     ,032-030,Repair,,
0223,ELECTRIC SYSTEM EXCEPT LIGHTING                     ,031-090,Repair,,
0224,FUEL SYSTEM                                         ,044-100,Repair,,
0225,COOLING SYSTEM                                      ,042-090,Repair,,
0226,EXHAUST STSTEM                                      ,043-080,Repair,,
0227,LUBRICATION SYSTEM                                  ,045-120,Repair,,
0228,AIR CONDITIONING                                    ,001-080,Repair,,
0231,CLUTCH                                              ,023-060,Repair,,
0232,TRANSMISSION (INC. PTO)                             ,056-050,Repair,,
0233,PROPELLER SHAFT & JOINTS                            ,024-030,Repair,,
0234,PTO SHAFT & JOINTS                                  ,056-050,Repair,,
0235,DIFFERENTIAL                                        ,022-030,Repair,,
0241,STEERING SYSTEM                                     ,015-120,Repair,,
0242,BRAKE SYSTEMS                                       ,013-250,Repair,,
0244,"WHEELS/BALANCING, ETC.                              ",017-040,Repair,,
